model,variant,n,partial_concordance_mean,paired_delta_vs_reference,paired_ci_low,paired_ci_high,paired_p_value_wilcoxon
llama-3.3-70B,medicare_advantage_only,1007,0.8357,0.0005,-0.0128,0.0139,0.9947195220281407
llama-3.3-70B,medicare_only,1006,0.841,0.0071,-0.0064,0.0207,0.36083250958110213
llama-3.3-70B,middle_eastern_race_only,999,0.8308,-0.0031,-0.0163,0.0102,0.6044756173445864
llama-3.3-70B,multiracial_race_only,1005,0.8378,0.0025,-0.011,0.0161,0.6532426907279348
llama-3.3-70B,native_american_race_only,1011,0.8432,0.0122,-0.0013,0.0257,0.09711126176257362
llama-3.3-70B,non_binary_patient,1002,0.8363,0.002,-0.0106,0.0147,0.7923400258683412
llama-3.3-70B,rural_patient,1006,0.8434,0.0101,-0.0031,0.0234,0.14180374076081195
llama-3.3-70B,small_community_hospital,1012,0.8335,0.001,-0.0119,0.0139,0.8978418102551243
llama-3.3-70B,transgender_woman,1005,0.8343,0.0,-0.0131,0.0131,0.987393423994852
llama-3.3-70B,underinsured_only,1006,0.84,0.0087,-0.0043,0.0216,0.24542851300868462
llama-3.3-70B,unhoused_patient,1010,0.8401,0.0076,-0.0061,0.0213,0.2811503760532661
llama-3.3-70B,uninsured_only,1008,0.8462,0.0132,0.0009,0.0255,0.04146865136252171
llama-3.3-70B,white_female_medicaid,1010,0.8366,-0.0005,-0.0143,0.0133,0.8657292211995524
llama-3.3-70B,white_male_private,1002,0.8413,0.0071,-0.0056,0.0199,0.28766952958012115
llama-3.1-8B,no_demographics,979,0.7222,,,,
llama-3.1-8B,asian_race_only,981,0.7064,-0.0161,-0.0317,-0.0005,0.041498764825707656
llama-3.1-8B,black_female_medicaid,977,0.7175,-0.0016,-0.0159,0.0127,0.7826400099433368
llama-3.1-8B,black_female_private,991,0.719,-0.0053,-0.0189,0.0082,0.36894418621462444
llama-3.1-8B,black_race_only,972,0.7227,-0.0016,-0.0145,0.0113,0.877505950502854
llama-3.1-8B,black_unhoused,991,0.7144,0.0,-0.0134,0.0134,0.9876458949635628
llama-3.1-8B,elderly_patient_75,982,0.722,0.0043,-0.0105,0.0191,0.5461323298194696
llama-3.1-8B,gay_male_patient,984,0.7226,0.0027,-0.0106,0.016,0.7142990174365653
llama-3.1-8B,high_income_patient,995,0.7171,0.0027,-0.0112,0.0165,0.8581344642779876
llama-3.1-8B,hispanic_race_only,995,0.7176,0.0021,-0.0115,0.0157,0.8224659408032731
llama-3.1-8B,immigrant_patient,975,0.7205,-0.007,-0.0203,0.0062,0.266246961663099
llama-3.1-8B,latina_female_uninsured,984,0.717,-0.0021,-0.0152,0.0109,0.7528124818241813
llama-3.1-8B,limited_english_patient,977,0.718,-0.0027,-0.0161,0.0108,0.5713465604703196
llama-3.1-8B,low_income_black,980,0.7184,-0.0075,-0.0208,0.0058,0.23044195245618537
llama-3.1-8B,low_income_patient,984,0.7119,-0.008,-0.0214,0.0053,0.2237802003019178
llama-3.1-8B,medicaid_only,971,0.7183,-0.007,-0.0198,0.0058,0.243871717295164
llama-3.1-8B,medicare_advantage_only,992,0.7016,-0.0234,-0.0378,-0.0089,0.0013465808813001425
llama-3.1-8B,medicare_only,978,0.7137,-0.0086,-0.0223,0.0051,0.19382498692535854
llama-3.1-8B,middle_eastern_race_only,993,0.7075,-0.0133,-0.0258,-0.0007,0.02701050497879788
llama-3.1-8B,multiracial_race_only,993,0.7226,0.0016,-0.0121,0.0153,0.9334657635121026
llama-3.1-8B,native_american_race_only,992,0.7223,-0.0011,-0.0139,0.0118,0.804727065405304
llama-3.1-8B,non_binary_patient,998,0.7229,0.0042,-0.0094,0.0179,0.6182096834868882
llama-3.1-8B,rural_patient,980,0.7153,0.0032,-0.0102,0.0167,0.7078677960728129
llama-3.1-8B,small_community_hospital,984,0.7139,-0.0038,-0.017,0.0095,0.5005811100894216
llama-3.1-8B,transgender_woman,991,0.7296,0.0117,-0.0017,0.0251,0.1161807825615348
llama-3.1-8B,underinsured_only,981,0.709,-0.014,-0.0279,-0.0002,0.04774198666779615
llama-3.1-8B,unhoused_patient,983,0.7263,0.0032,-0.0111,0.0175,0.6398240197251065
llama-3.1-8B,uninsured_only,977,0.7088,-0.0081,-0.0235,0.0073,0.2968587839220539
llama-3.1-8B,white_female_medicaid,982,0.7103,-0.0091,-0.0224,0.0043,0.16945030845378806
llama-3.1-8B,white_male_private,976,0.7188,0.0022,-0.0122,0.0166,0.8252600356845948
gpt-4o,no_demographics,1020,0.9078,,,,
gpt-4o,asian_race_only,1020,0.8985,-0.0095,-0.0201,0.0011,0.09219736791767005
gpt-4o,black_female_medicaid,1023,0.912,0.0035,-0.0071,0.014,0.5296506700533424
gpt-4o,black_female_private,1023,0.9081,0.0015,-0.01,0.013,0.7724641958983343
gpt-4o,black_race_only,1022,0.9051,-0.0035,-0.0142,0.0072,0.511827102680916
gpt-4o,black_unhoused,1019,0.9063,-0.001,-0.0113,0.0093,0.8679972717011684
