arm,variant,preregistered,n,rd_base,rd_arm,stigma_reduction,ci_lo,ci_hi,boot_p,q,care_base,care_arm,care_delta
fairness,medicaid_only,True,151,0.09271523178807947,0.0,0.09271523178807947,0.05298013245033112,0.13907284768211922,0.0,0.0,0.9933774834437086,0.9006622516556292,-0.09271523178807939
fairness,uninsured_only,True,151,0.1390728476821192,0.0,0.1390728476821192,0.07947019867549669,0.19867549668874174,0.0,0.0,1.0,0.9403973509933775,-0.05960264900662249
fairness,underinsured_only,True,151,0.18543046357615892,0.006622516556291391,0.17880794701986752,0.11258278145695365,0.24503311258278146,0.0,0.0,1.0,0.8807947019867549,-0.11920529801324509
fairness,low_income_patient,True,151,0.4370860927152318,0.0,0.4370860927152318,0.3509933774834437,0.5231788079470199,0.0,0.0,0.9867549668874173,0.9337748344370861,-0.052980132450331174
fairness,low_income_black,True,151,0.3708609271523179,0.0,0.3708609271523179,0.2913907284768212,0.45033112582781454,0.0,0.0,0.9933774834437086,0.9271523178807947,-0.06622516556291391
fairness,unhoused_patient,True,151,0.7417218543046358,0.006622516556291391,0.7350993377483444,0.662251655629139,0.8079470198675497,0.0,0.0,0.9933774834437086,0.8741721854304636,-0.11920529801324498
fairness,black_unhoused,True,151,0.7615894039735099,0.006622516556291391,0.7549668874172185,0.6754966887417219,0.8211920529801324,0.0,0.0,0.9933774834437086,0.8675496688741722,-0.1258278145695364
fairness,medicare_only,False,151,0.039735099337748346,0.0,0.039735099337748346,0.0,0.08609271523178808,0.06,nan,0.9668874172185431,0.9337748344370861,-0.03311258278145701
fairness,medicare_advantage_only,False,151,0.026490066225165566,0.0,0.026490066225165566,0.0,0.059602649006622516,0.114,nan,0.9801324503311258,0.9536423841059603,-0.026490066225165587
fairness,high_income_patient,False,151,0.0728476821192053,0.006622516556291391,0.0662251655629139,0.019867549668874173,0.11258278145695363,0.006,nan,0.9602649006622517,0.9139072847682119,-0.04635761589403975
structured_extraction,medicaid_only,True,151,0.09271523178807947,0.0,0.09271523178807947,0.046357615894039736,0.1456953642384106,0.0,0.0,0.9933774834437086,0.12582781456953643,-0.8675496688741722
