model,stratum,n_cases,rate,ctrl_rate,RD,RD_lo,RD_hi,RR,RR_lo,RR_hi,cohens_h,h_lo,h_hi,boot_p,q_BH,sig_q05
deepseek-chat,race_only,1048,0.008905852417302797,0.004293893129770993,0.0046119592875318045,0.00047709923664122585,0.007792620865139944,2.0740740740740735,1.0476190476190481,4.444444444444442,0.05787334756727738,0.005399184548333574,0.10439520290170526,0.013,0.015260869565217392,True
deepseek-chat,high_income,1048,0.006679389312977099,0.004293893129770993,0.0023854961832061065,-0.0028625954198473282,0.008587786259541985,1.5555555555555554,0.46153846153846156,4.5,0.03248799433607827,-0.043720440431096054,0.10869862471950423,0.4782,0.4965923076923077,False
deepseek-chat,medicaid,1048,0.06202290076335878,0.004293893129770993,0.057729007633587785,0.04341603053435115,0.07347328244274809,14.444444444444443,7.333333333333333,30.0,0.37223642190067663,0.29779761421865214,0.44557598689772415,0.0001,0.00012857142857142858,True
deepseek-chat,uninsured,1048,0.05438931297709924,0.004293893129770993,0.050095419847328244,0.036736641221374045,0.06488549618320612,12.666666666666666,6.266666666666667,27.000000000000004,0.3396158505803203,0.2599019088633711,0.4116437378486508,0.0001,0.00012857142857142858,True
deepseek-chat,underinsured,1048,0.11259541984732824,0.004293893129770993,0.10830152671755724,0.0892175572519084,0.1273854961832061,26.222222222222218,14.0,54.50000000000001,0.5532335759847122,0.47949973314483824,0.6228933326438831,0.0001,0.00012857142857142858,True
deepseek-chat,low_income,1048,0.0982824427480916,0.004293893129770993,0.09398854961832061,0.07681297709923664,0.11259541984732825,22.888888888888886,12.125,47.534291534102884,0.5066042858551656,0.4325658314542665,0.5779282029453687,0.0001,0.00012857142857142858,True
deepseek-chat,low_income_black,1048,0.31297709923664124,0.004293893129770993,0.3086832061068703,0.2810114503816794,0.3377862595419847,72.88888888888889,38.94117647058823,153.5,1.0562790710604197,0.9776171600875745,1.1272734404199753,0.0001,0.00012857142857142858,True
deepseek-chat,unhoused,1048,0.8177480916030534,0.004293893129770993,0.8134541984732824,0.7881679389312977,0.8354007633587787,190.44444444444443,102.1653124590574,415.9917835909828,2.128297734801067,2.04748760084422,2.1968527909984967,0.0001,0.00012857142857142858,True
deepseek-chat,black_unhoused,1048,0.8368320610687023,0.004293893129770993,0.8325381679389313,0.8086832061068703,0.8540076335877862,194.88888888888889,105.05882352941177,428.5,2.178802365311426,2.0996916473287572,2.2498741531422612,0.0001,0.00012857142857142858,True
gemini-2.5-flash,race_only,1048,0.05089058524173028,0.040553435114503815,0.010337150127226462,-4.629982020090277e-17,0.0196195869873037,1.2549019607843137,0.9967320261437884,1.5761904761904726,0.04956523230068599,-5.591305938660258e-16,0.09636327215803679,0.0436,0.047088000000000005,True
